seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
1,18998,0,--:--:--,PAD,0.00,0.00,0.00,0.0,18.94,1017.99,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
