seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
25,48594,0,--:--:--,PAD,23.91,977.39,28.17,316.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
26,49594,0,--:--:--,PAD,23.93,977.47,28.17,315.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
27,52306,0,--:--:--,PAD,23.99,977.61,28.18,314.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
28,53306,0,--:--:--,PAD,24.01,977.65,28.18,314.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
29,54306,0,--:--:--,PAD,24.03,977.77,28.18,313.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
30,55306,0,--:--:--,PAD,24.06,977.83,28.17,312.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
31,56704,0,--:--:--,PAD,24.09,977.90,28.20,311.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
32,57704,0,--:--:--,PAD,24.11,977.98,28.20,311.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
33,58704,0,--:--:--,PAD,24.13,978.02,28.19,310.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
34,59704,0,--:--:--,PAD,24.16,978.10,28.20,310.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
35,61673,0,--:--:--,PAD,24.20,978.24,28.19,309.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
36,62867,0,--:--:--,PAD,24.23,978.32,28.21,308.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
37,63867,0,--:--:--,PAD,24.26,978.36,28.21,308.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
38,64867,0,--:--:--,PAD,24.29,978.43,28.22,307.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
39,67196,0,--:--:--,PAD,24.34,978.57,28.20,306.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
40,68196,0,--:--:--,PAD,24.36,978.61,28.22,305.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
41,69196,0,--:--:--,PAD,24.37,978.61,28.22,305.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
42,70196,0,--:--:--,PAD,24.40,978.67,28.22,305.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
43,72480,0,--:--:--,PAD,24.43,978.71,28.23,305.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
44,73480,0,--:--:--,PAD,24.45,978.61,28.24,305.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
45,74480,0,--:--:--,PAD,24.46,978.57,28.23,306.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
46,75480,0,--:--:--,PAD,24.48,978.55,28.23,306.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
47,76877,0,--:--:--,PAD,24.50,978.57,28.23,306.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
48,77877,0,--:--:--,PAD,24.52,978.57,28.24,306.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
49,78877,0,--:--:--,PAD,24.53,978.55,28.23,306.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
50,80139,0,--:--:--,PAD,24.54,978.57,28.24,306.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
51,81974,0,--:--:--,PAD,24.57,978.61,28.25,305.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
52,83015,0,--:--:--,PAD,24.58,978.65,28.25,305.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
53,84015,0,--:--:--,PAD,24.60,978.69,28.24,305.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
54,85015,0,--:--:--,PAD,24.61,978.69,28.26,305.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
55,86888,0,--:--:--,PAD,24.62,978.71,28.25,305.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
56,87888,0,--:--:--,PAD,24.64,978.73,28.25,304.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
57,88888,0,--:--:--,PAD,24.65,978.75,28.25,304.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
58,89888,0,--:--:--,PAD,24.66,978.75,28.25,304.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
59,92254,0,--:--:--,PAD,24.69,978.79,28.26,304.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
60,93254,0,--:--:--,PAD,24.69,978.81,28.26,304.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
61,94254,0,--:--:--,PAD,24.70,978.81,28.27,304.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
62,95545,0,--:--:--,PAD,24.71,978.83,28.27,304.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
63,96991,0,--:--:--,PAD,24.73,978.85,28.26,303.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
64,97991,0,--:--:--,PAD,24.74,978.85,28.27,303.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
65,98991,0,--:--:--,PAD,24.74,978.83,28.26,304.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
66,99991,0,--:--:--,PAD,24.75,978.85,28.27,303.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
67,101989,0,--:--:--,PAD,24.77,978.83,28.28,304.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
68,103167,0,--:--:--,PAD,24.78,978.85,28.27,303.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
69,104167,0,--:--:--,PAD,24.79,978.87,28.28,303.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
70,105167,0,--:--:--,PAD,24.80,978.88,28.28,303.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
71,107067,0,--:--:--,PAD,24.81,978.90,28.27,303.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
72,108067,0,--:--:--,PAD,24.83,978.94,28.29,303.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
73,109067,0,--:--:--,PAD,24.83,978.94,28.28,303.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
74,110067,0,--:--:--,PAD,24.84,978.94,28.29,303.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
